,dataset,method,train_or_test,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani
58,indextrack4,MVOrisk,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
59,indextrack4,MVOrisk,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
60,indextrack4,MVOreturn,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
61,indextrack4,MVOreturn,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
62,indextrack4,MVOsharpe,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
63,indextrack4,MVOsharpe,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
64,indextrack4,CLAvolatility,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
65,indextrack4,CLAvolatility,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
66,indextrack4,CLAsharpe,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
67,indextrack4,CLAsharpe,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
68,indextrack4,HRP,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.32727677115401044,0.19579533348151876,1.6260692504403442,1.6421402597458568,0.3301349699818128
69,indextrack4,HRP,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.2785122757229428,0.2853257970438882,4.44969325899282,4.416796363797474,1.2919162636208468
70,indextrack5,MVOvolatility,train,-0.7465000551721372,0.974717788341271,0.45084469610374994,0.3093266440541501,0.1430523683012335,0.5130462805381698,0.2614820015077622,0.2784251243130655,0.14271667031660912
